biomarker_id,biomarker_name,raw_col,label,unit,source_table
291,blood_bromodichloromethane_comment_code,LBDVBMLC,Blood Bromodichloromethane Comment Code,,raw_blood_voc
292,blood_benzene,LBXVBZ,Blood Benzene,ng/mL,raw_blood_voc
293,blood_benzene_comment_code,LBDVBZLC,Blood Benzene Comment Code,,raw_blood_voc
294,blood_benzonitrile,LBXVBZN,Blood Benzonitrile,ng/mL,raw_blood_voc
295,blood_benzonitrile_comment_code,LBDVZBLC,Blood Benzonitrile Comment Code,,raw_blood_voc
296,blood_cyclohexane,LBXVC6,Blood Cyclohexane,ng/mL,raw_blood_voc
297,blood_cyclohexane_comment_code,LBDVC6LC,Blood Cyclohexane Comment Code,,raw_blood_voc
298,blood_chlorobenzene,LBXVCB,Blood Chlorobenzene,ng/mL,raw_blood_voc
299,blood_chlorobenzene_comment_code,LBDVCBLC,Blood Chlorobenzene Comment Code,,raw_blood_voc
300,blood_chloroform,LBXVCF,Blood Chloroform,ng/mL,raw_blood_voc
301,blood_chloroform_comment_code,LBDVCFLC,Blood Chloroform Comment Code,,raw_blood_voc
302,blood_dibromochloromethane,LBXVCM,Blood Dibromochloromethane,ng/mL,raw_blood_voc
303,blood_dibromochloromethane_comment_code,LBDVCMLC,Blood Dibromochloromethane Comment Code,,raw_blood_voc
304,blood_carbon_tetrachloride,LBXVCT,Blood Carbon Tetrachloride,ng/mL,raw_blood_voc
305,blood_carbon_tetrachloride_comment_code,LBDVCTLC,Blood Carbon Tetrachloride Comment Code,,raw_blood_voc
306,blood_14dichlorobenzene,LBXVDB,"Blood 1,4-Dichlorobenzene",ng/mL,raw_blood_voc
307,blood_14dichlorobenzene_comment_code,LBDVDBLC,"Blood 1,4-Dichlorobenzene Comment Code",,raw_blood_voc
308,blood_12dibromoethane,LBXVDE,"Blood 1,2-Dibromoethane",ng/mL,raw_blood_voc
309,blood_12dibromoethane_comment_code,LBDVDELC,"Blood 1,2-Dibromoethane Comment Code",,raw_blood_voc
310,blood_diethyl_ether,LBXVDEE,Blood Diethyl Ether,ng/mL,raw_blood_voc
311,blood_diethyl_ether_comment_code,LBDVEELC,Blood Diethyl Ether Comment Code,,raw_blood_voc
312,blood_ethyl_acetate,LBXVEA,Blood Ethyl Acetate,ng/mL,raw_blood_voc
313,blood_ethyl_acetate_comment_code,LBDVEALC,Blood Ethyl Acetate Comment Code,,raw_blood_voc
314,blood_ethylbenzene,LBXVEB,Blood Ethylbenzene,ng/mL,raw_blood_voc
315,blood_ethylbenzene_comment_code,LBDVEBLC,Blood Ethylbenzene Comment Code,,raw_blood_voc
316,blood_chloroethane,LBXVEC,Blood Chloroethane,ng/mL,raw_blood_voc
317,blood_chloroethane_comment_code,LBDVECLC,Blood Chloroethane Comment Code,,raw_blood_voc
318,blood_furan,LBXVFN,Blood Furan,ng/mL,raw_blood_voc
319,blood_furan_comment_code,LBDVFNLC,Blood Furan Comment Code,,raw_blood_voc
320,blood_isobutyronitrile,LBXVIBN,Blood Isobutyronitrile,ng/mL,raw_blood_voc
321,blood_isobutyronitrile_comment_code,LBDVIBLC,Blood Isobutyronitrile Comment Code,,raw_blood_voc
322,blood_isopropylbenzene,LBXVIPB,Blood Isopropylbenzene,ng/mL,raw_blood_voc
323,blood_isopropylbenzene_comment_code,LBDVIPLC,Blood Isopropylbenzene Comment Code,,raw_blood_voc
324,blood_methylene_chloride,LBXVMC,Blood Methylene Chloride,ng/mL,raw_blood_voc
325,blood_methylene_chloride_comment_code,LBDVMCLC,Blood Methylene Chloride Comment Code,,raw_blood_voc
326,blood_methylcyclopentane,LBXVMCP,Blood Methylcyclopentane,ng/mL,raw_blood_voc
327,blood_methylcyclopentane_comment_code,LBDVMPLC,Blood Methylcyclopentane Comment Code,,raw_blood_voc
328,blood_mtbe,LBXVME,Blood MTBE,ng/mL,raw_blood_voc
329,blood_mtbe_comment_code,LBDVMELC,Blood MTBE Comment Code,,raw_blood_voc
330,blood_methyl_isobutyl_ketone,LBXVMIK,Blood Methyl Isobutyl Ketone,ng/mL,raw_blood_voc
331,blood_methyl_isobutyl_ketone_comt_code,LBDVMKLC,Blood Methyl Isobutyl Ketone Comt Code,,raw_blood_voc
332,blood_nitrobenzene,LBXVNB,Blood Nitrobenzene,ng/mL,raw_blood_voc
333,blood_nitrobenzene_comment_code,LBDVNBLC,Blood Nitrobenzene Comment Code,,raw_blood_voc
334,blood_oxylene,LBXVOX,Blood o-Xylene,ng/mL,raw_blood_voc
335,blood_oxylene_comment_code,LBDVOXLC,Blood o-Xylene Comment Code,,raw_blood_voc
336,blood_trichloroethene,LBXVTC,Blood Trichloroethene,ng/mL,raw_blood_voc
337,blood_trichloroethene_comment_code,LBDVTCLC,Blood Trichloroethene Comment Code,,raw_blood_voc
338,blood_111trichloroethane,LBXVTE,"Blood 1,1,1-Trichloroethane",ng/mL,raw_blood_voc
339,blood_111trichloroethane_comment_code,LBDVTELC,"Blood 1,1,1-Trichloroethane Comment Code",,raw_blood_voc
340,blood_aaatrifluorotoluene,LBXVTFT,Blood aaa-Trifluorotoluene,ng/mL,raw_blood_voc
341,blood_aaatrifluorotoluene_comment_code,LBDVFTLC,Blood aaa-Trifluorotoluene Comment Code,,raw_blood_voc
342,blood_tetrahydrofuran,LBXVTHF,Blood Tetrahydrofuran,ng/mL,raw_blood_voc
343,blood_tetrahydrofuran_comment_code,LBDVHTLC,Blood Tetrahydrofuran Comment Code,,raw_blood_voc
344,blood_123trichloropropane,LBXVTP,"Blood 1,2,3-Trichloropropane",ng/mL,raw_blood_voc
345,blood_123trichloropropane_comt_code,LBDVTPLC,"Blood 1,2,3-Trichloropropane Comt Code",,raw_blood_voc
346,blood_vinyl_bromide,LBXVVB,Blood Vinyl Bromide,ng/mL,raw_blood_voc
347,blood_vinyl_bromide_comment_code,LBDVVBLC,Blood Vinyl Bromide Comment Code,,raw_blood_voc
348,blood_mpxylene,LBXVXY,Blood m-/p-Xylene,ng/mL,raw_blood_voc
349,blood_mpxylene_comment_code,LBDVXYLC,Blood m-/p-Xylene Comment Code,,raw_blood_voc
